# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-03-10
#
# GRDC-No.:              6935500
# River:                 RHINE RIVER
# Station:               DIEPOLDSAU, RIETBRUECKE
# Country:               CH
# Latitude (DD):       47.3831
# Longitude (DD):      9.6409
# Catchment area (km²):      6119.0
# Altitude (m ASL):        456.273
# Next downstream station:      6935055
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1919-01 - 2016-12
# No. of years:          98
# Last update:           2018-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35795
# DATA
YYYY-MM-DD;hh:mm; Value
1920-04-25;--:--;    239.000
1920-04-26;--:--;    255.000
1920-04-27;--:--;    251.000
1920-04-28;--:--;    235.000
1920-04-29;--:--;    255.000
1920-04-30;--:--;    260.000
1920-05-01;--:--;    293.000
1920-05-02;--:--;    353.000
1920-05-03;--:--;    470.000
1920-05-04;--:--;    633.000
1920-05-05;--:--;    547.000
1920-05-06;--:--;    412.000
1920-05-07;--:--;    382.000
1920-05-08;--:--;    376.000
1920-05-09;--:--;    431.000
1920-05-10;--:--;    436.000
1920-05-11;--:--;    458.000
1920-05-12;--:--;    512.000
1920-05-13;--:--;    614.000
1920-05-14;--:--;    745.000
1920-05-15;--:--;    719.000
1920-05-16;--:--;    803.000
1920-05-17;--:--;    936.000
1920-05-18;--:--;    961.000
1920-05-19;--:--;    997.000
1920-05-20;--:--;   1028.000
1920-05-21;--:--;   1140.000
1920-05-22;--:--;   1151.000
1920-05-23;--:--;    912.000
1920-05-24;--:--;    838.000
1920-05-25;--:--;    798.000
1920-05-26;--:--;    798.000
1920-05-27;--:--;    842.000
1920-05-28;--:--;    851.000
1920-05-29;--:--;    865.000
1920-05-30;--:--;    931.000
1920-05-31;--:--;    741.000
1920-06-01;--:--;    723.000
1920-06-02;--:--;    556.000
1920-06-03;--:--;    532.000
1920-06-04;--:--;    604.000
1920-06-05;--:--;    575.000
1920-06-06;--:--;    467.000
1920-06-07;--:--;    387.000
1920-06-08;--:--;    379.000
1920-06-09;--:--;    412.000
1920-06-10;--:--;    456.000
1920-06-11;--:--;    436.000
1920-06-12;--:--;    431.000
1920-06-13;--:--;    431.000
1920-06-14;--:--;    447.000
1920-06-15;--:--;    464.000
1920-06-16;--:--;    444.000
1920-06-17;--:--;    472.000
1920-06-18;--:--;    547.000
1920-06-19;--:--;    464.000
1920-06-20;--:--;    436.000
1920-06-21;--:--;    425.000
1920-06-22;--:--;    475.000
1920-06-23;--:--;    515.000
1920-06-24;--:--;    504.000
1920-06-25;--:--;    518.000
1920-06-26;--:--;    529.000
1920-06-27;--:--;    529.000
1920-06-28;--:--;    550.000
1920-06-29;--:--;    529.000
1920-06-30;--:--;    560.000
1920-07-01;--:--;    617.000
1920-07-02;--:--;    512.000
1920-07-03;--:--;    526.000
1920-07-04;--:--;    649.000
1920-07-05;--:--;    671.000
1920-07-06;--:--;    492.000
1920-07-07;--:--;    425.000
1920-07-08;--:--;    444.000
1920-07-09;--:--;    840.000
1920-07-10;--:--;    773.000
1920-07-11;--:--;    520.000
1920-07-12;--:--;    472.000
1920-07-13;--:--;    492.000
1920-07-14;--:--;    492.000
1920-07-15;--:--;    447.000
1920-07-16;--:--;    431.000
1920-07-17;--:--;    431.000
1920-07-18;--:--;    441.000
1920-07-19;--:--;    464.000
1920-07-20;--:--;    439.000
1920-07-21;--:--;    387.000
1920-07-22;--:--;    393.000
1920-07-23;--:--;    412.000
1920-07-24;--:--;    409.000
1920-07-25;--:--;    390.000
1920-07-26;--:--;    369.000
1920-07-27;--:--;    495.000
1920-07-28;--:--;    768.000
1920-07-29;--:--;    501.000
1920-07-30;--:--;    425.000
1920-07-31;--:--;    385.000
1920-08-01;--:--;    382.000
1920-08-02;--:--;    358.000
1920-08-03;--:--;    348.000
1920-08-04;--:--;    366.000
1920-08-05;--:--;    376.000
1920-08-06;--:--;    387.000
1920-08-07;--:--;    366.000
1920-08-08;--:--;    330.000
1920-08-09;--:--;    321.000
1920-08-10;--:--;    316.000
1920-08-11;--:--;    311.000
1920-08-12;--:--;    302.000
1920-08-13;--:--;    288.000
1920-08-14;--:--;    288.000
1920-08-15;--:--;    295.000
1920-08-16;--:--;    309.000
1920-08-17;--:--;    283.000
1920-08-18;--:--;    274.000
1920-08-19;--:--;    281.000
1920-08-20;--:--;    348.000
1920-08-21;--:--;    439.000
1920-08-22;--:--;    309.000
1920-08-23;--:--;    278.000
1920-08-24;--:--;    255.000
1920-08-25;--:--;    260.000
1920-08-26;--:--;    269.000
1920-08-27;--:--;    253.000
1920-08-28;--:--;    235.000
1920-08-29;--:--;    213.000
1920-08-30;--:--;    194.000
1920-08-31;--:--;    184.000
1920-09-01;--:--;    186.000
1920-09-02;--:--;    186.000
1920-09-03;--:--;    184.000
1920-09-04;--:--;    328.000
1920-09-05;--:--;    470.000
1920-09-06;--:--;    614.000
1920-09-07;--:--;    439.000
1920-09-08;--:--;    337.000
1920-09-09;--:--;    274.000
1920-09-10;--:--;    248.000
1920-09-11;--:--;    233.000
1920-09-12;--:--;    225.000
1920-09-13;--:--;    209.000
1920-09-14;--:--;    194.000
1920-09-15;--:--;    190.000
